Year,Julian Day,Rainfall,Runoff (Q),Potential Evapotranspiration (E0),Crop Transpiration (Etrans),Maximum Sublimation (Esoil),SoilWater/L1,SoilWater/L2,SoilWater/L3,Esoil/L1,Esoil/L2,Esoil/L3,Perc/L1,Perc/L2,Perc/L3,Temp/L1,Temp/L2,Temp/L3,Surface Temp,Sediment Yield
,,mm,mm,mm d^-1,mm H2O,mm H2O,mm,mm,mm,mm H2O,mm H2O,mm H2O,mm H2O,mm H2O,mm H2O,C,C,C,C,metric tons
1,274,1.02,0.0,1.34,0.0,1.34,8.527,0.0,45.0,1.308,0.0,11.281,255.0,0.032,0.0,9.545,300.0,0.0,0.0,7.832
1,275,0.0,0.0,1.575,0.0,1.575,10.596,0.0,44.708,1.5,0.0,11.087,254.968,0.038,0.0,9.387,300.0,0.0,0.0,7.756
1,276,0.0,0.0,1.51,0.0,1.51,14.581,0.0,43.208,1.269,0.0,11.668,254.93,0.036,0.0,9.656,300.0,0.0,0.0,7.807
1,277,25.65,2.24,1.355,0.0,1.355,12.774,0.15,41.939,1.025,0.0,11.799,254.894,0.032,0.0,9.693,300.0,0.0,0.0,7.797
1,278,0.0,0.0,1.173,0.0,1.173,7.323,0.0,64.328,1.145,18.974,10.898,254.862,0.028,0.0,9.18,300.0,0.0,0.0,7.636
1,279,0.0,0.0,0.985,0.0,0.985,6.568,0.0,44.209,0.9,0.0,10.038,273.807,0.024,8.115,8.695,300.0,0.0,0.0,7.486
1,280,0.0,0.0,1.109,0.0,1.109,7.939,0.0,43.309,0.94,0.0,9.602,265.669,0.027,4.603,8.443,308.115,0.0,3.093,7.404
1,281,0.0,0.0,1.168,0.0,1.168,10.205,0.0,42.369,0.916,0.0,9.672,261.039,0.028,2.606,8.464,309.624,0.0,3.669,7.401
1,282,0.0,0.0,1.23,0.0,1.23,11.436,0.0,41.453,0.893,0.0,9.955,258.405,0.029,1.469,8.604,308.561,0.0,3.264,7.433
1,283,0.0,0.0,0.681,0.0,0.681,3.406,0.0,40.56,0.459,0.0,8.7,256.906,0.016,0.823,7.921,306.767,0.0,2.58,7.236
1,284,2.79,0.0,0.703,0.0,0.703,3.473,0.0,40.101,0.456,0.0,7.708,256.068,0.017,0.461,7.381,305.01,0.0,1.91,7.08
1,285,5.33,0.0,0.585,0.0,0.585,-0.209,0.0,42.439,0.461,0.0,6.236,255.59,0.014,0.255,6.584,303.561,0.0,1.357,6.853
1,286,0.0,0.0,0.388,0.0,0.388,-2.107,0.0,47.312,0.379,2.269,4.708,255.321,0.009,0.139,5.76,302.458,0.0,0.937,6.62
1,287,0.71,0.0,0.443,0.0,0.443,0.211,0.0,44.664,0.42,0.0,3.913,257.443,0.011,1.054,5.329,301.66,0.0,0.633,6.497
1,288,0.2,0.0,0.629,0.0,0.629,0.418,0.0,44.949,0.611,0.0,3.315,256.378,0.015,0.595,5.005,302.081,0.0,0.793,6.404
1,289,0.0,0.0,0.922,0.0,0.922,3.318,0.0,44.539,0.866,0.0,3.372,255.768,0.022,0.332,5.033,301.882,0.0,0.718,6.41
1,290,22.35,1.37,0.325,0.0,0.325,6.311,0.087,43.673,0.284,0.0,3.969,255.415,0.008,0.179,5.352,301.496,0.0,0.57,6.499
1,291,0.25,0.0,0.651,0.0,0.651,5.023,0.0,64.366,0.635,19.012,4.21,255.228,0.016,0.098,5.482,301.105,0.0,0.421,6.535
1,292,3.99,0.0,0.271,0.0,0.271,1.955,0.0,44.973,0.264,0.0,3.837,274.126,0.006,8.252,5.283,300.782,0.0,0.298,6.48
1,293,0.0,0.0,0.348,0.0,0.348,0.566,0.0,48.701,0.34,3.633,3.283,265.867,0.008,4.689,4.989,308.736,0.0,3.33,6.399
1,294,0.0,0.0,0.42,0.0,0.42,2.053,0.0,44.728,0.401,0.0,3.114,264.803,0.01,4.23,4.899,310.095,0.0,3.848,6.374
1,295,0.0,0.0,0.469,0.0,0.469,0.186,0.0,44.327,0.433,0.0,2.634,260.563,0.011,2.4,4.642,310.476,0.0,3.994,6.303
1,296,0.0,0.0,0.325,0.0,0.325,0.177,0.0,43.895,0.289,0.0,2.248,258.152,0.008,1.36,4.434,308.883,0.0,3.386,6.244
1,297,0.51,0.0,0.4,0.0,0.4,-0.367,0.0,43.605,0.348,0.0,1.838,256.784,0.01,0.77,4.213,306.856,0.0,2.614,6.181
1,298,0.36,0.0,0.505,0.0,0.505,0.379,0.0,43.766,0.445,0.0,1.648,256.005,0.012,0.433,4.109,305.012,0.0,1.911,6.151
1,299,0.0,0.0,0.593,0.0,0.593,2.077,0.0,43.684,0.519,0.0,1.81,255.559,0.014,0.241,4.193,303.535,0.0,1.348,6.173
1,300,0.0,0.0,0.441,0.0,0.441,1.464,0.0,43.165,0.369,0.0,1.825,255.304,0.011,0.131,4.199,302.429,0.0,0.926,6.174
1,301,0.0,0.0,0.719,0.0,0.719,3.119,0.0,42.796,0.584,0.0,2.143,255.162,0.017,0.07,4.368,301.634,0.0,0.623,6.22
1,302,0.0,0.0,0.576,0.0,0.576,2.067,0.0,42.212,0.446,0.0,2.203,255.075,0.014,0.032,4.399,301.081,0.0,0.412,6.228
1,303,0.0,0.0,0.6,0.0,0.6,2.431,0.0,41.766,0.447,0.0,2.319,255.029,0.014,0.012,4.459,300.701,0.0,0.267,6.244
1,304,0.0,0.0,0.752,0.0,0.752,4.417,0.0,41.319,0.54,0.0,2.777,255.002,0.018,0.001,4.705,300.446,0.0,0.17,6.313
1,305,0.0,0.0,0.301,0.0,0.301,-0.601,0.0,40.779,0.207,0.0,2.218,254.983,0.007,0.0,4.402,300.277,0.0,0.106,6.227
1,306,0.0,0.0,0.322,0.0,0.322,-1.102,0.0,40.572,0.217,0.0,1.678,254.976,0.008,0.0,4.11,300.171,0.0,0.065,6.144
1,307,0.0,0.0,0.276,0.0,0.276,-2.267,0.0,40.355,0.183,0.0,1.031,254.968,0.007,0.0,3.761,300.106,0.0,0.04,6.044
1,308,0.0,0.0,0.308,0.0,0.308,-1.102,0.0,40.172,0.201,0.0,0.729,254.962,0.007,0.0,3.597,300.066,0.0,0.025,5.998
1,309,0.0,0.0,0.35,0.0,0.35,0.888,0.0,39.971,0.225,0.0,0.854,254.954,0.008,0.0,3.664,300.041,0.0,0.015,6.016
1,310,0.0,0.0,0.571,0.0,0.571,3.348,0.0,39.746,0.36,0.0,1.408,254.946,0.014,0.0,3.962,300.025,0.0,0.01,6.1
1,311,0.0,0.0,0.492,0.0,0.492,3.679,0.0,39.387,0.301,0.0,1.913,254.932,0.012,0.0,4.233,300.016,0.0,0.006,6.176
1,312,0.51,0.0,0.366,0.0,0.366,5.215,0.0,39.086,0.218,0.0,2.6,254.92,0.009,0.0,4.603,300.01,0.0,0.004,6.281
1,313,0.0,0.0,0.695,0.0,0.695,7.389,0.0,39.376,0.425,0.0,3.551,254.912,0.017,0.0,5.115,300.006,0.0,0.002,6.425
1,314,0.18,0.0,0.479,0.0,0.479,3.697,0.0,38.951,0.282,0.0,3.63,254.895,0.011,0.0,5.157,300.004,0.0,0.001,6.437
