jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
1,7.8000,0.0000,0.0000,0.0100,0.0000,0.0000
2,2.6000,0.0000,0.0000,0.0100,0.0000,0.0000
3,1.4000,0.0000,0.0000,0.0100,0.0000,0.0000
4,1.4000,0.0000,0.0000,0.0100,0.0000,0.0000
5,6.7000,0.0000,0.0000,0.0100,0.0000,0.0000
6,5.7000,0.0000,0.0000,0.0100,0.0000,0.0000
7,4.5000,0.0000,0.0000,0.0100,0.0000,0.0000
8,7.6000,0.0000,0.0000,0.0100,0.0000,0.0000
9,3.8000,0.0000,0.0000,0.0100,0.0000,0.0000
10,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
11,3.2000,0.0000,0.0000,0.0100,0.0000,0.0000
12,2.7000,0.0000,0.0000,0.0100,0.0000,0.0000
13,5.5000,0.0000,0.0000,0.0100,0.0000,0.0000
14,6.2000,0.0000,0.0000,0.0100,0.0000,0.0000
15,6.9000,0.0000,0.0000,0.0100,0.0000,0.0000
16,4.7000,0.0000,0.0000,0.0100,0.0000,0.0000
17,9.2000,0.0000,0.0000,0.0100,0.0000,0.0000
18,8.6000,0.0000,0.0000,0.0100,0.0000,0.0000
19,9.0000,0.0000,0.0000,0.0100,0.0000,0.0000
20,5.6000,0.0000,0.0000,0.0100,0.0000,0.0000
21,4.2000,0.0000,0.0000,0.0100,0.0000,0.0000
22,8.1000,0.0000,0.0000,0.0100,0.0000,0.0000
23,4.5000,0.0000,0.0000,0.0100,0.0000,0.0000
24,9.6000,0.0000,0.0000,0.0100,0.0000,0.0000
25,9.6000,0.0000,0.0000,0.0100,0.0000,0.0000
26,6.9000,0.0000,0.0000,0.0100,0.0000,0.0000
27,8.0000,0.0000,0.0000,0.0100,0.0000,0.0000
28,6.1000,0.0000,0.0000,0.0100,0.0000,0.0000
29,10.7000,0.0000,0.0000,0.0100,0.0000,0.0000
30,9.8000,0.0000,0.0000,0.0100,0.0000,0.0000
31,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
32,10.5000,0.0000,0.0000,0.0100,0.0000,0.0000
33,9.8000,0.0000,0.0000,0.0100,0.0000,0.0000
34,10.4000,0.0000,0.0000,0.0100,0.0000,0.0000
35,10.9000,0.0000,0.0000,0.0100,0.0000,0.0000
36,9.6000,0.0000,0.0000,0.0100,0.0000,0.0000
37,5.9000,0.0000,0.0000,0.0100,0.0000,0.0000
38,2.9000,0.0000,0.0000,0.0100,0.0000,0.0000
39,3.7000,0.0000,0.0000,0.0100,0.0000,0.0000
40,2.7000,0.0000,0.0000,0.0100,0.0000,0.0000
41,3.8000,0.0000,0.0000,0.0100,0.0000,0.0000
42,5.7000,0.0000,0.0000,0.0100,0.0000,0.0000
43,6.6000,0.0000,0.0000,0.0100,0.0000,0.0000
44,7.7000,0.0000,0.0000,0.0100,0.0000,0.0000
45,9.2000,0.0000,0.0000,0.0100,0.0000,0.0000
46,10.8000,0.0000,0.0000,0.0100,0.0000,0.0000
47,11.2000,0.0000,0.0000,0.0100,0.0000,0.0000
48,13.6000,0.0000,0.0000,0.0100,0.0000,0.0000
49,13.6000,0.0000,0.0000,0.0100,0.0000,0.0000
50,13.3000,0.0000,0.0000,0.0100,0.0000,0.0000
51,6.3000,0.0000,0.0000,0.0100,0.0000,0.0000
52,6.0000,0.0000,0.0000,0.0100,0.0000,0.0000
53,10.4000,0.0000,0.0000,0.0100,0.0000,0.0000
54,14.6000,0.0000,0.0000,0.0100,0.0000,0.0000
55,15.7000,0.0000,0.0000,0.0100,0.0000,0.0000
56,13.1000,0.0000,0.0000,0.0100,0.0000,0.0000
57,15.6000,0.0000,0.0000,0.0100,0.0000,0.0000
58,14.9000,0.0000,0.0000,0.0100,0.0000,0.0000
59,15.2000,0.0000,0.0000,0.0100,0.0000,0.0000
60,15.4000,0.0000,0.0000,0.0100,0.0000,0.0000
61,10.7000,0.0000,0.0000,0.0100,0.0000,0.0000
62,10.2000,0.0000,0.0000,0.0100,0.0000,0.0000
63,12.6000,0.0000,0.0000,0.0100,0.0000,0.0000
64,16.3000,0.0000,0.0000,0.0100,0.0000,0.0000
65,16.4000,0.0000,0.0000,0.0100,0.0000,0.0000
66,11.1000,0.0000,0.0000,0.0100,0.0000,0.0000
67,7.7000,0.0000,0.0000,0.0100,0.0000,0.0000
68,9.1000,0.0000,0.0000,0.0100,0.0000,0.0000
69,11.5000,0.0000,0.0000,0.0100,0.0000,0.0000
70,13.8000,0.0000,0.0000,0.0100,0.0000,0.0000
71,17.2000,0.0000,0.0000,0.0100,0.0000,0.0000
72,19.1000,0.0000,0.0000,0.0100,0.0000,0.0000
73,19.4000,0.0000,0.0000,0.0100,0.0000,0.0000
74,11.5000,0.0000,0.0000,0.0100,0.0000,0.0000
75,4.3000,0.0000,0.0000,0.0100,0.0000,0.0000
76,19.6000,0.0000,0.0000,0.0100,0.0000,0.0000
77,19.1000,0.0000,0.0000,0.0100,0.0000,0.0000
78,7.9000,0.0000,0.0000,0.0100,0.0000,0.0000
79,6.4000,0.0000,0.0000,0.0100,0.0000,0.0000
80,11.1000,0.0000,0.0000,0.0100,0.0000,0.0000
81,7.8000,0.0000,0.0000,0.0100,0.0000,0.0000
82,3.9000,0.0000,0.0000,0.0100,0.0000,0.0000
83,8.2000,0.0000,0.0000,0.0100,0.0000,0.0000
84,7.0000,0.0000,0.0000,0.0100,0.0000,0.0000
85,5.4000,0.0000,0.0000,0.0100,0.0000,0.0000
86,5.2000,0.0000,0.0000,0.0100,0.0000,0.0000
87,17.2000,0.0000,0.0000,0.0100,0.0000,0.0000
88,20.5000,0.0000,0.0000,0.0100,0.0000,0.0000
89,15.0000,0.0000,0.0000,0.0100,0.0000,0.0000
90,2.0000,0.0000,0.0000,0.0100,0.0000,0.0000
91,13.3000,0.0000,0.0000,0.0100,0.0000,0.0000
92,21.7000,0.0000,0.0000,0.0100,0.0000,0.0000
93,22.6000,0.0000,0.0000,0.0100,0.0000,0.0000
94,19.5000,0.0000,0.0000,0.0100,0.0000,0.0000
95,8.0000,0.0000,0.0000,0.0100,0.0000,0.0000
96,13.0000,0.0000,0.0000,0.0100,0.0000,0.0000
97,9.9000,0.0000,0.0000,0.0100,0.0000,0.0000
98,3.8000,0.0000,0.0000,0.0100,0.0000,0.0000
99,17.5000,0.0000,0.0000,0.0100,0.0000,0.0000
100,21.7000,0.0000,0.0000,0.0100,0.0000,0.0000
101,1.9000,0.0000,0.0000,0.0100,0.0000,0.0000
102,14.6000,0.0000,0.0000,0.0100,0.0000,0.0000
103,18.2000,0.0000,0.0000,0.0100,0.0000,0.0000
104,2.0000,0.0000,0.0000,0.0100,0.0000,0.0000
105,2.3000,0.0000,0.0000,0.0100,0.0000,0.0000
106,6.2000,0.0000,0.0000,0.0100,0.0000,0.0000
107,21.1000,0.0000,0.0000,0.0100,0.0000,0.0000
108,15.6000,0.0000,0.0000,0.0100,0.0000,0.0000
109,2.5000,0.0000,0.0000,0.0100,0.0000,0.0000
110,19.0000,0.0000,0.0000,0.0100,0.0000,0.0000
111,25.2000,0.0000,0.0000,0.0100,0.0000,0.0000
112,20.6000,0.0000,0.0000,0.0100,0.0000,0.0000
113,21.4000,0.0000,0.0000,0.0100,0.0000,0.0000
114,16.3000,0.0000,0.0000,0.5424,0.0000,0.0000
115,20.8000,0.0000,0.0000,0.0100,0.0000,0.0000
116,25.9000,0.0000,0.0000,0.0100,0.0000,0.0000
117,6.4000,0.0000,0.0000,0.0100,0.0000,0.0000
118,22.7000,0.0000,0.0000,0.7613,0.0000,0.0000
119,18.5000,0.0000,0.0000,0.5207,0.0000,0.0000
120,21.5000,0.0000,0.0000,0.0100,0.0000,0.0000
121,9.5000,0.0000,0.0000,0.0629,0.0000,0.0000
122,7.3000,0.0003,0.0107,0.0100,0.0001,0.0001
123,5.5000,0.0003,0.0131,0.7836,0.0102,0.0103
124,10.1000,0.0033,0.1269,0.8507,0.1079,0.1183
125,16.5000,0.0111,0.4319,0.9000,0.3887,0.5069
126,22.5000,0.0255,0.9950,0.0100,0.0099,0.5169
127,7.6000,0.0091,0.3536,0.0100,0.0035,0.5204
128,19.3000,0.0243,0.9494,0.0100,0.0095,0.5299
129,21.5000,0.0296,1.1530,0.9716,1.1203,1.6502
130,20.3000,0.0568,2.2149,0.9740,2.1572,3.8074
131,24.5000,0.1117,4.3562,0.9578,4.1725,7.9799
132,27.0000,0.1672,6.5203,0.0100,0.0652,8.0451
133,27.3000,0.1733,6.7569,0.0100,0.0676,8.1126
134,15.9000,0.1025,3.9979,0.0100,0.0400,8.1526
135,26.1000,0.1727,6.7358,0.0100,0.0674,8.2200
136,25.8000,0.1736,6.7695,0.0100,0.0677,8.2877
137,10.3000,0.0706,2.7522,0.0100,0.0275,8.3152
138,19.4000,0.1342,5.2345,0.0100,0.0523,8.3675
139,15.9000,0.1113,4.3402,0.0100,0.0434,8.4109
140,17.8000,0.1259,4.9102,0.0100,0.0491,8.4600
141,22.8000,0.1632,6.3667,0.0100,0.0637,8.5237
142,19.4000,0.1419,5.5353,0.4258,2.3569,10.8806
143,3.0000,0.0268,1.0456,0.7782,0.8137,11.6943
144,6.3000,0.0702,2.7368,0.0149,0.0408,11.7351
145,20.0000,0.2254,8.7909,0.1013,0.8909,12.6260
146,28.3000,0.3359,13.0986,0.6642,8.7001,21.3262
147,13.5000,0.2004,7.8138,0.8614,6.7308,28.0569
148,12.9000,0.2370,9.2436,0.1235,1.1417,29.1986
149,24.5000,0.4744,18.5011,0.0100,0.1850,29.3836
150,2.5000,0.0490,1.9114,0.0100,0.0191,29.4027
151,21.0000,0.4147,16.1744,0.0100,0.1617,29.5644
152,23.1000,0.4622,18.0239,0.0100,0.1802,29.7447
153,6.0000,0.1215,4.7380,0.0100,0.0474,29.7921
154,21.9000,0.4450,17.3536,0.4506,7.8202,37.6123
155,9.9000,0.2230,8.6969,0.0100,0.0870,37.6993
156,27.3000,0.6202,24.1859,0.2795,6.7604,44.4597
157,20.7000,0.5286,20.6163,0.6560,13.5242,57.9839
158,3.2000,0.0962,3.7529,0.7235,2.7153,60.6991
159,18.3000,0.6319,24.6427,0.9258,22.8136,83.5127
160,22.5000,0.9985,38.9404,0.8195,31.9124,115.4251
161,22.7000,1.2103,47.2021,0.9667,45.6288,161.0539
162,26.6000,1.7440,68.0155,0.8149,55.4251,216.4791
163,27.1000,2.0920,81.5873,0.8136,66.3820,282.8611
164,16.5000,1.4774,57.6178,0.8032,46.2771,329.1382
165,27.7000,2.8651,111.7391,0.8427,94.1662,423.3044
166,21.9000,2.5369,98.9374,0.6028,59.6379,482.9422
167,11.9000,1.4506,56.5753,0.6952,39.3324,522.2747
168,10.9000,1.4138,55.1387,0.8809,48.5743,570.8490
169,5.5000,0.8275,32.2739,0.9025,29.1260,599.9751
170,10.5000,1.7151,66.8881,0.9591,64.1546,664.1296
171,10.1000,1.8353,71.5759,0.9096,65.1065,729.2362
172,28.1000,5.4802,213.7286,0.9691,207.1189,936.3550
173,28.1000,6.0730,236.8464,0.9541,225.9834,1162.3384
174,26.2000,6.2064,242.0498,0.9582,231.9245,1394.2629
175,17.4000,4.4499,173.5475,0.8841,153.4290,1547.6918
176,25.9000,7.1800,280.0215,0.9111,255.1267,1802.8185
177,29.0000,8.4201,328.3841,0.9295,305.2295,2108.0480
178,28.8000,8.7462,341.1026,0.9576,326.6518,2434.6999
179,23.3000,7.3391,286.2252,0.8921,255.3408,2690.0407
180,23.9000,7.7218,301.1491,0.8391,252.6964,2942.7371
181,10.6000,3.4944,136.2829,0.6952,94.7470,3037.4841
182,12.8000,4.2779,166.8371,0.9476,158.1023,3195.5864
183,20.7000,7.0891,276.4752,0.9603,265.4991,3461.0855
184,21.3000,7.5408,294.0894,0.9730,286.1389,3747.2244
185,13.0000,4.7236,184.2191,0.9684,178.3903,3925.6148
186,5.5000,2.0428,79.6674,0.9643,76.8221,4002.4369
187,24.2000,9.1453,356.6674,0.9682,345.3220,4347.7589
188,15.8000,6.0544,236.1213,0.9743,230.0440,4577.8029
189,11.6000,4.4963,175.3550,0.9788,171.6351,4749.4379
190,19.4000,7.5933,296.1392,0.9714,287.6751,5037.1131
191,21.8000,8.6108,335.8224,0.9725,326.5793,5363.6924
192,16.0000,6.3667,248.2994,0.9748,242.0529,5605.7453
