year,delay,apply_day,total_runoff_kg,n_available_day30_kg,root_zone_layer1_kg
2020,0,202,0.0011942477913015,65.33722035060133,35.2618302169382
2020,1,203,0.0009968543855471,65.49856358818184,34.70000493105567
2020,2,204,0.000972986329962,65.91649200919517,34.782100772060666
2020,3,205,0.0009102614367897,66.32382080293735,34.848786766657696
2020,4,206,0.0007966225013294,66.74559099505768,34.94028152649995
2003,0,202,0.0039082736398128,63.06377386888151,34.027330429671096
2003,1,203,0.005032718106822201,62.91784871463853,33.87165339964409
2003,2,204,0.0058121832982802,62.810992423467155,33.846959860505955
2003,3,205,0.0056259344382648,62.99167206071715,33.99525525844339
2003,4,206,0.0054669500092898,63.39232012587109,33.9604503409705
2002,0,202,0.23930973656109958,61.781458009005036,29.638784475357465
2002,1,203,0.2193065315881328,61.84760132020069,29.891843962979202
2002,2,204,0.26767692600608006,61.34616808816018,31.842827641155136
2002,3,205,0.2644570029163262,61.30111696696707,28.498507775426955
2002,4,206,0.20989912596119828,62.16430760954325,26.6961995225204
2010,0,202,1.2043803144687542,58.438047942064586,17.860510449842224
2010,1,203,0.9549145835011239,59.57524010219423,19.599974429650544
2010,2,204,0.7743820235460628,59.52249721816949,17.240899413644836
2010,3,205,0.7289336297231245,60.60670044652778,18.061829764534853
2010,4,206,0.8363687126467777,59.64000795100068,19.70896024545783
2007,0,202,1.0716402340957583,57.031315112097765,10.950516825082994
2007,1,203,1.0715192844614743,56.994247560987645,8.807201032113847
2007,2,204,1.0548608622665463,55.42977933409498,8.377029729753247
2007,3,205,1.0416383331367187,54.3975376143992,7.154198343781994
2007,4,206,1.025531328424119,54.22606261523893,6.667530574412144
2013,0,202,0.5861619804808978,60.24869492069009,32.92662694032415
2013,1,203,0.32659700266112446,61.24652532493915,33.800019212740956
2013,2,204,0.36676598052914616,61.40743441491428,33.83979105676829
2013,3,205,0.4050508300662164,60.45745763199154,38.79488788759365
2013,4,206,0.3986363467566311,60.51792981736869,35.71683017488479
