mode,location,latitude_requested,longitude_requested,latitude_served,longitude_served,timezone,first_timestamp,horizon_hours,application_window,temp_min_c,temp_min_window,temp_max_c,temp_max_window,wind_max_ms,wind_window,precip_next_72h_mm,precip_sum_window,precip_max_hourly_mm,precip_max_hourly_window,sub_temperature,sub_wind,sub_precipitation,score,verdict,n_stops,stops_triggered,recommended_time_window
v4.0,Montreal,45.5017,-73.5673,45.49215,-73.56103,America/Toronto,2026-09-11T14:00,24,6h-18h,9.8,24h,20.3,24h,4.5,24h,4.73,72h,1.1,72h,0.676,0.55,1.0,0.719068,good,0,,18h-6h
v4.0,Sherbrooke,45.4042,-71.8929,45.39251,-71.89802,America/Toronto,2026-09-11T14:00,24,6h-18h,7.6,24h,21.7,24h,5.43,24h,10.93,72h,2.5,72h,0.564,0.457,0.9256,0.620211,ok,0,,18h-6h
v4.0,Trois-Rivieres,46.3432,-72.5432,46.35345,-72.54686,America/Toronto,2026-09-11T14:00,24,6h-18h,9.2,24h,20.4,24h,4.3,24h,1.9,72h,0.4,72h,0.668,0.57,0.975,0.718707,good,0,,18h-6h
v4.0,Gatineau,45.4765,-75.7013,45.484444,-75.691315,America/Toronto,2026-09-11T14:00,24,6h-18h,9.1,24h,21.7,24h,4.7,24h,1.16,72h,0.55,72h,0.564,0.53,0.79,0.618103,ok,0,,18h-6h
v4.0,Saguenay,48.3878,-71.0464,48.386974,-71.03071,America/Toronto,2026-09-11T14:00,24,6h-18h,7.1,24h,19.4,24h,8.08,24h,5.13,72h,0.8,72h,0.73,0.0,1.0,0.0,bad,1,wind > 8 m/s (viento operacionalmente peligroso),18h-6h
v4.0,Rimouski,48.4489,-68.5209,48.454758,-68.52689,America/Toronto,2026-09-11T14:00,24,6h-18h,7.3,24h,15.9,24h,6.41,24h,4.5,72h,1.4,72h,0.905,0.359,1.0,0.68746,ok,0,,18h-6h
v4.0,Val-d'Or,48.0975,-77.7828,48.08485,-77.77863,America/Toronto,2026-09-11T14:00,24,6h-18h,11.2,24h,21.1,24h,7.52,24h,0.6,72h,0.4,72h,0.612,0.248,0.65,0.462068,ok,0,,18h-6h
v4.0,Sainte-Anne-de-Bellevue,45.4059,-73.943,45.398304,-73.95152,America/Toronto,2026-09-11T14:00,24,6h-18h,11.2,24h,22.6,24h,6.53,24h,2.53,72h,0.4,72h,0.492,0.347,1.0,0.554751,ok,0,,18h-6h
v4.1,Montreal,45.5017,-73.5673,45.49215,-73.56103,America/Toronto,2026-09-11T14:00,24,6h-18h,9.8,6h-18h,20.3,6h-18h,4.5,6h-18h,4.73,72h,1.1,72h,0.676,0.55,1.0,0.719068,good,0,,18h-6h
v4.1,Sherbrooke,45.4042,-71.8929,45.39251,-71.89802,America/Toronto,2026-09-11T14:00,24,6h-18h,7.6,6h-18h,21.7,6h-18h,5.43,6h-18h,10.93,72h,2.5,72h,0.564,0.457,0.9256,0.620211,ok,0,,18h-6h
